the_sea_fairies_01_f000001|THE oceans are big and broad.|THE oceans are big and broad.
the_sea_fairies_02_f000083|Rising from the blue water was a fair face around which floated a mass of long, blonde hair.|Rising from the blue water was a fair face around which floated a mass of long, blonde hair.
the_sea_fairies_02_f000084|It was a sweet, girlish face with eyes of the same deep blue as the water and red lips whose dainty smile disposed two rows of pearly teeth.|It was a sweet, girlish face with eyes of the same deep blue as the water and red lips whose dainty smile disposed two rows of pearly teeth.
the_sea_fairies_02_f000085|The cheeks were plump and rosy, the brows gracefully penciled, while the chin was rounded and had a pretty dimple in it.|The cheeks were plump and rosy, the brows gracefully penciled, while the chin was rounded and had a pretty dimple in it.
the_sea_fairies_02_f000086|The most beauti-ful-est in all the world, murmured Captain Bill in a voice of horror, and no one has ever lived toto tell the tale!|The most beauti-ful-est in all the world, murmured Captain Bill in a voice of horror, and no one has ever lived toto tell the tale!
the_sea_fairies_02_f000087|There was a peal of merry laughter at this, laughter that rippled and echoed throughout the cavern.|There was a peal of merry laughter at this, laughter that rippled and echoed throughout the cavern.
the_sea_fairies_02_f000088|Just at Trot's side appeared a new face even fairer than the other, with a wealth of brown hair wreathing the lovely features.|Just at Trot's side appeared a new face even fairer than the other, with a wealth of brown hair wreathing the lovely features.
the_sea_fairies_02_f000089|And the eyes smiled kindly into those of the child.|And the eyes smiled kindly into those of the child.
the_sea_fairies_02_f000090|Are you aa mermaid? asked Trot curiously.|Are you aa mermaid? asked Trot curiously.
the_sea_fairies_02_f000091|She was not a bit afraid.|She was not a bit afraid.
the_sea_fairies_02_f000092|They seemed both gentle and friendly.|They seemed both gentle and friendly.
the_sea_fairies_02_f000093|Yes, dear, was the soft answer.|Yes, dear, was the soft answer.
the_sea_fairies_02_f000094|We are all mermaids!|We are all mermaids!
the_sea_fairies_02_f000095|chimed a laughing chorus, and here and there, all about the boat, appeared pretty faces lying just upon the surface of the water.|chimed a laughing chorus, and here and there, all about the boat, appeared pretty faces lying just upon the surface of the water.
the_sea_fairies_02_f000096|Are you part fishes? asked Trot, greatly pleased by this wonderful sight.|Are you part fishes? asked Trot, greatly pleased by this wonderful sight.
the_sea_fairies_02_f000097|No, we are all mermaid, replied the one with the brown hair.|No, we are all mermaid, replied the one with the brown hair.
the_sea_fairies_02_f000098|The fishes are partly like us, because they live in the sea and must move about.|The fishes are partly like us, because they live in the sea and must move about.
the_sea_fairies_02_f000099|And you are partly like us, Mayre dear, but have awkward stiff legs so you may walk on the land.|And you are partly like us, Mayre dear, but have awkward stiff legs so you may walk on the land.
the_sea_fairies_02_f000100|But the mermaids lived before fishes and before mankind, so both have borrowed something from us.|But the mermaids lived before fishes and before mankind, so both have borrowed something from us.
the_sea_fairies_02_f000101|Then you must be fairies if you've lived always, remarked Trot, nodding wisely.|Then you must be fairies if you've lived always, remarked Trot, nodding wisely.
the_sea_fairies_02_f000102|We are, dear.|We are, dear.
the_sea_fairies_02_f000103|We are the water fairies, answered the one with the blonde hair, coming nearer and rising till her slender white throat showed plainly.|We are the water fairies, answered the one with the blonde hair, coming nearer and rising till her slender white throat showed plainly.
the_sea_fairies_02_f000104|Wewe're goners, Trot!|Wewe're goners, Trot!
the_sea_fairies_02_f000105|sighed Captain Bill with a white, woebegone face.|sighed Captain Bill with a white, woebegone face.
the_sea_fairies_02_f000106|I guess not, Captain, she answered calmly.|I guess not, Captain, she answered calmly.
the_sea_fairies_02_f000107|These pretty mermaids aren't going to hurt us, I'm sure.|These pretty mermaids aren't going to hurt us, I'm sure.
the_sea_fairies_02_f000108|No indeed, said the first one who had spoken.|No indeed, said the first one who had spoken.
the_sea_fairies_02_f000109|If we were wicked enough to wish to harm you, our magic could reach you as easily upon the land as in this cave.|If we were wicked enough to wish to harm you, our magic could reach you as easily upon the land as in this cave.
the_sea_fairies_02_f000110|But we love little girls dearly and wish only to please them and make their lives more happy.|But we love little girls dearly and wish only to please them and make their lives more happy.
the_sea_fairies_02_f000111|I believe that! cried Trot earnestly.|I believe that! cried Trot earnestly.
the_sea_fairies_02_f000112|Captain Bill groaned.|Captain Bill groaned.
the_sea_fairies_02_f000113|Guess why we have appeared to you, said another mermaid, coming to the side of the boat.|Guess why we have appeared to you, said another mermaid, coming to the side of the boat.
the_sea_fairies_02_f000114|Why? asked the child.|Why? asked the child.
the_sea_fairies_02_f000115|We heard you say yesterday you would like to see a mermaid, and so we decided to grant your wish.|We heard you say yesterday you would like to see a mermaid, and so we decided to grant your wish.
the_sea_fairies_02_f000116|That was real nice of you, said Trot gratefully.|That was real nice of you, said Trot gratefully.
the_sea_fairies_02_f000117|Also, we heard all the foolish things Captain Bill said about us, remarked the brown-haired one smilingly, and we wanted to prove to him that they were wrong.|Also, we heard all the foolish things Captain Bill said about us, remarked the brown-haired one smilingly, and we wanted to prove to him that they were wrong.
the_sea_fairies_02_f000118|I on'y said what I've heard, protested Captain Bill.|I on'y said what I've heard, protested Captain Bill.
the_sea_fairies_02_f000119|Never havin' seen a mermaid afore, I couldn't be ackerate, and I never expected to see one and live to tell the tale.|Never havin' seen a mermaid afore, I couldn't be ackerate, and I never expected to see one and live to tell the tale.
the_sea_fairies_02_f000120|Again the cave rang with merry laughter, and as it died away, Trot said, May I see your scales, please?|Again the cave rang with merry laughter, and as it died away, Trot said, May I see your scales, please?
the_sea_fairies_02_f000121|And are they green and purple and pink like Captain Bill said?|And are they green and purple and pink like Captain Bill said?
the_sea_fairies_02_f000122|They seemed undecided what to say to this and swam a little way off, where the beautiful heads formed a group that was delightful to see.|They seemed undecided what to say to this and swam a little way off, where the beautiful heads formed a group that was delightful to see.
the_sea_fairies_02_f000123|Perhaps they talked together, for the brown-haired mermaid soon came back to the side of the boat and asked, Would you like to visit our kingdom and see all the wonders that exist below the sea?|Perhaps they talked together, for the brown-haired mermaid soon came back to the side of the boat and asked, Would you like to visit our kingdom and see all the wonders that exist below the sea?
the_sea_fairies_02_f000124|I'd like to, replied Trot promptly, but I couldn't.|I'd like to, replied Trot promptly, but I couldn't.
the_sea_fairies_02_f000125|I'd get drowned.|I'd get drowned.
the_sea_fairies_02_f000126|That you would, mate! cried Captain Bill.|That you would, mate! cried Captain Bill.
the_sea_fairies_02_f000127|Oh no, said the mermaid.|Oh no, said the mermaid.
the_sea_fairies_02_f000128|We would make you both like one of ourselves, and then you could live within the water as easily as we do.|We would make you both like one of ourselves, and then you could live within the water as easily as we do.
