poisoned_pen_01_f000001|THE POISONED PEN.|THE POISONED PEN.
poisoned_pen_01_f000142|Thurston - I had almost said my husband, though I don't know whether that is the truth or not - who has just come over from New York, tells me that there is some doubt about the validity of our divorce.|Thurston - I had almost said my husband, though I don't know whether that is the truth or not - who has just come over from New York, tells me that there is some doubt about the validity of our divorce.
poisoned_pen_01_f000143|You recall he was in the South at the time I sued him, and the papers were served on him in Georgia. He now says the proof of service was fraudulent and that he can set aside the divorce.|You recall he was in the South at the time I sued him, and the papers were served on him in Georgia. He now says the proof of service was fraudulent and that he can set aside the divorce.
poisoned_pen_01_f000144|In that case you might figure in a suit for alienating my affections.|In that case you might figure in a suit for alienating my affections.
poisoned_pen_01_f000145|I do not write this with ill will, but simply to let you know how things stand. If we had married, I suppose I would be guilty of bigamy.|I do not write this with ill will, but simply to let you know how things stand. If we had married, I suppose I would be guilty of bigamy.
poisoned_pen_01_f000146|At any rate, if he were disposed he could make a terrible scandal.|At any rate, if he were disposed he could make a terrible scandal.
poisoned_pen_01_f000147|Oh, Harris, can't you settle with him if he asks anything? Don't forget so soon that we once thought we were going to be the happiest of mortals - at least I did.|Oh, Harris, can't you settle with him if he asks anything? Don't forget so soon that we once thought we were going to be the happiest of mortals - at least I did.
poisoned_pen_01_f000148|Don't desert me, or the very earth will cry out against you. I am frantic and hardly know what I am writing. My head aches, but it is my heart that is breaking.|Don't desert me, or the very earth will cry out against you. I am frantic and hardly know what I am writing. My head aches, but it is my heart that is breaking.
poisoned_pen_01_f000149|Harris, I am yours still, down in my heart, but not to be cast off like an old suit for a new one. You know the old saying about a woman scorned.|Harris, I am yours still, down in my heart, but not to be cast off like an old suit for a new one. You know the old saying about a woman scorned.
poisoned_pen_01_f000150|I beg you not to go back on Your poor little deserted VERA.|I beg you not to go back on Your poor little deserted VERA.
poisoned_pen_01_f000151|As we finished reading, Leland exclaimed, That never must come before the jury.|As we finished reading, Leland exclaimed, That never must come before the jury.
poisoned_pen_01_f000152|Kennedy was examining the letter carefully. Strange, he muttered.|Kennedy was examining the letter carefully. Strange, he muttered.
poisoned_pen_01_f000153|See how it was folded. It was written on the wrong side of the sheet, or rather folded up with the writing outside. Where have these letters been?|See how it was folded. It was written on the wrong side of the sheet, or rather folded up with the writing outside. Where have these letters been?
poisoned_pen_01_f000154|Part of the time in my safe, part of the time this afternoon on my desk by the window.|Part of the time in my safe, part of the time this afternoon on my desk by the window.
poisoned_pen_01_f000155|The office was locked, I suppose? asked Kennedy. There was no way to slip this letter in among the others since you obtained them?|The office was locked, I suppose? asked Kennedy. There was no way to slip this letter in among the others since you obtained them?
poisoned_pen_01_f000156|None. The office has been locked, and there is no evidence of any one having entered or disturbed a thing.|None. The office has been locked, and there is no evidence of any one having entered or disturbed a thing.
poisoned_pen_01_f000157|He was hastily running over the pile of letters as if looking to see whether they were all there. Suddenly he stopped.|He was hastily running over the pile of letters as if looking to see whether they were all there. Suddenly he stopped.
poisoned_pen_01_f000158|Yes, he exclaimed excitedly, one of them is gone. Nervously he fumbled through them again. One is gone, he repeated, looking at us, startled.|Yes, he exclaimed excitedly, one of them is gone. Nervously he fumbled through them again. One is gone, he repeated, looking at us, startled.
poisoned_pen_01_f000159|What was it about? asked Craig.|What was it about? asked Craig.
poisoned_pen_01_f000160|It was a note from an artist, Thurston, who gave the address of Missis|It was a note from an artist, Thurston, who gave the address of Missis
poisoned_pen_01_f000161|Boncour's bungalow - ah, I see you have heard of him. He asked Dixon's recommendation of a certain patent headache medicine.|Boncour's bungalow - ah, I see you have heard of him. He asked Dixon's recommendation of a certain patent headache medicine.
poisoned_pen_01_f000162|I thought it possibly evidential, and I asked Dixon about it. He explained it by saying that he did not have a copy of his reply, but as near as he could recall,|I thought it possibly evidential, and I asked Dixon about it. He explained it by saying that he did not have a copy of his reply, but as near as he could recall,
poisoned_pen_01_f000163|he wrote that the compound would not cure a headache except at the expense of reducing heart action dangerously.|he wrote that the compound would not cure a headache except at the expense of reducing heart action dangerously.
poisoned_pen_01_f000164|He says he sent no prescription. Indeed, he thought it a scheme to extract advice without incurring the charge for an office call and answered it only because he thought Vera had become reconciled to Thurston again.|He says he sent no prescription. Indeed, he thought it a scheme to extract advice without incurring the charge for an office call and answered it only because he thought Vera had become reconciled to Thurston again.
