silent_bullet_01_f000001|CRAIG KENNEDY’S THEORIES.|CRAIG KENNEDYS THEORIES.
silent_bullet_02_f000132|That’s queer, said Kennedy, picking it loose. Then he wrapped it up carefully and put it in his pocket. Inspector, can you lend me one of your men for a couple of days?|Thats queer, said Kennedy, picking it loose. Then he wrapped it up carefully and put it in his pocket. Inspector, can you lend me one of your men for a couple of days?
silent_bullet_02_f000133|he asked, as we were preparing to leave.|he asked, as we were preparing to leave.
silent_bullet_02_f000134|I shall want to send him out of town to-night, and shall probably need his services when he gets back.|I shall want to send him out of town to-night, and shall probably need his services when he gets back.
silent_bullet_02_f000135|Very well. Riley will be just the fellow. We’ll go back to headquarters, and I’ll put him under your orders.|Very well. Riley will be just the fellow. Well go back to headquarters, and Ill put him under your orders.
silent_bullet_02_f000136|It was not until late in the following day that I saw Kennedy again.|It was not until late in the following day that I saw Kennedy again.
silent_bullet_02_f000137|It had been a busy day at the Star. We had gone to work that morning expecting to see the very financial heavens fall. But just about five minutes to ten,|It had been a busy day at the Star. We had gone to work that morning expecting to see the very financial heavens fall. But just about five minutes to ten,
silent_bullet_02_f000138|before the Stock Exchange opened, the news came in over the wire from our financial man on Broad Street:|before the Stock Exchange opened, the news came in over the wire from our financial man on Broad Street:
silent_bullet_02_f000139|The System has forced James Bruce, partner of Kerr Parker, the dead banker; to sell his railroad, steamship, and rubber holdings to it.|The System has forced James Bruce, partner of Kerr Parker, the dead banker; to sell his railroad, steamship, and rubber holdings to it.
silent_bullet_02_f000140|On this condition it promises unlimited support to the market.|On this condition it promises unlimited support to the market.
silent_bullet_02_f000141|Forced! muttered the managing editor, as he waited on the office phone to get the composing-room, so as to hurry up the few lines in red ink on the first page and beat our rivals on the streets with the first extras.|Forced! muttered the managing editor, as he waited on the office phone to get the composing-room, so as to hurry up the few lines in red ink on the first page and beat our rivals on the streets with the first extras.
silent_bullet_02_f000142|Why, he’s been working to bring that about for the past two weeks. What that System doesn’t control isn’t worth having - it edits the news before our men get it,|Why, hes been working to bring that about for the past two weeks. What that System doesnt control isnt worth having - it edits the news before our men get it,
silent_bullet_02_f000143|and as for grist for the divorce courts, and tragedies, well - Hello, Jenkins, yes, a special extra.|and as for grist for the divorce courts, and tragedies, well - Hello, Jenkins, yes, a special extra.
silent_bullet_02_f000144|Change the big heads - copy is on the way up - rush it.|Change the big heads - copy is on the way up - rush it.
silent_bullet_02_f000145|So you think this Parker case is a mess? I asked.|So you think this Parker case is a mess? I asked.
silent_bullet_02_f000146|I know it. That’s a pretty swift bunch of females that have been speculating at Kerr Parker & Co.’s. I understand there’s one Titian-haired young lady - who,|I know it. Thats a pretty swift bunch of females that have been speculating at Kerr Parker  Co.s. I understand theres one Titian-haired young lady - who,
silent_bullet_02_f000147|by the way, has at least one husband who hasn’t yet been divorced - who is a sort of ringleader, though she rarely goes personally to her brokers offices.|by the way, has at least one husband who hasnt yet been divorced - who is a sort of ringleader, though she rarely goes personally to her brokers offices.
silent_bullet_02_f000148|She’s one of those uptown plungers, and the story is that she has a whole string of scalps of alleged Sunday-school superintendents at her belt.|Shes one of those uptown plungers, and the story is that she has a whole string of scalps of alleged Sunday-school superintendents at her belt.
silent_bullet_02_f000149|She can make Bruce do pretty nearly anything, they say. He’s the latest conquest. I got the story on pretty good authority, but until I verified the names,|She can make Bruce do pretty nearly anything, they say. Hes the latest conquest. I got the story on pretty good authority, but until I verified the names,
